numero_questao,enunciado,alternativas,gabarito,nu_param_B
46,"Partículas suspensas em um fluido apresentam contínua movimentação aleatória, chamado movimento browniano, causado pelos choques das partículas que compõem o fluido. A ideia de um inventor era construir uma série de palhetas, montadas sobre um eixo, que seriam postas em movimento pela agitação das partículas ao seu redor. Como o movimento ocorreria igualmente em ambos os sentidos de rotação, o cientista concebeu um segundo elemento, um dente de engrenagem assimétrico. Assim, em escala muito pequena, este tipo de motor poderia executar trabalho, por exemplo, puxando um pequeno peso para cima. O esquema, que já foi testado, é mostrado a seguir. A explicação para a necessidade do uso da engrenagem com trava é:","A: O travamento do motor, para que ele não se solte aleatoriamente.; B: A seleção da velocidade, controlada pela pressão nos dentes da engrenagem.; C: O controle do sentido da velocidade tangencial, permitindo, inclusive, uma fácil leitura do seu valor.; D: A determinação do movimento, devido ao caráter aleatório, cuja tendência é o equilíbrio.; E: A escolha do ângulo a ser girado, sendo possível, inclusive, medi-lo pelo número de dentes da engrenagem.",D,2.47488
47,"Os personagens da figura estão representando uma situação hipotética de cadeia alimentar Suponha que, em cena anterior à apresentada, o homem tenha se alimentado de frutas e grãos que conseguiu coletar. Na hipótese de, nas próximas cenas, o tigre ser bem-sucedido e, posteriormente, servir de alimento aos abutres, tigre e abutres ocuparão, respectivamente, os níveis tróficos de",A: produtor e consumidor primário.; B: consumidor primário e consumidor secundário.; C: consumidor secundário e consumidor terciário.; D: consumidor terciário e produtor.; E: consumidor secundário e consumidor primário.,C,0.07698
48,"A produção de soro antiofídico é feita por meio da extração da peçonha de serpentes que, após tratamento, é introduzida em um cavalo. Em seguida são feitas sangrias para avaliar a concentração de anticorpos produzidos pelo cavalo. Quando essa concentração atinge o valor desejado, é realizada a sangria final para obtenção do soro. As hemácias são devolvidas ao animal, por meio de uma técnica denominada plasmaferese, a fim de reduzir os efeitos colaterais provocados pela sangria. A plasmaferese é importante, pois, se o animal ficar com uma baixa quantidade de hemácias, poderá apresentar",A: febre alta e constante.; B: redução de imunidade.; C: aumento da pressão arterial.; D: quadro de leucemia profunda.; E: problemas no transporte de oxigênio.,E,0.63064
49,"Um paciente deu entrada em um pronto-socorro apresentando os seguintes sintomas: cansaço, dificuldade em respirar e sangramento nasal. O médico solicitou um hemograma ao paciente para definir um diagnóstico. Os resultados estão dispostos na tabela: Relacionando os sintomas apresentados pelo paciente com os resultados de seu hemograma, constata-se que","A: o sangramento nasal é devido à baixa quantidade de plaquetas, que são responsáveis pela coagulação sanguínea.; B: o cansaço ocorreu em função da quantidade de glóbulos brancos, que são responsáveis pela coagulação sanguínea.; C: a dificuldade respiratória decorreu da baixa quantidade de glóbulos vermelhos, que são responsáveis pela defesa imunológica.; D: o sangramento nasal é decorrente da baixa quantidade de glóbulos brancos, que são responsáveis pelo transporte de gases no sangue.; E: a dificuldade respiratória ocorreu pela quantidade de plaquetas, que são responsáveis pelo transporte de oxigênio no sangue.",A,0.4356
50,"Um dos problemas dos combustíveis que contêm carbono é que sua queima produz dióxido de carbono. Portanto, uma característica importante, ao se escolher um combustível, é analisar seu calor de combustão (∆Hc º), definido como a energia liberada na queima completa de um mol de combustível no estado padrão. O quadro seguinte relaciona algumas substâncias que contêm carbono e seu ∆Hc º. Substância Fórmula ∆Hc º (kJ/mol) benzeno C6 H6 (l) -3 268 etanol C2 H5 OH (l) -1 368 glicose C6 H12O6 (s) -2 808 metano CH4 (g) -890 octano C8 H18 (l) -5 471 Neste contexto, qual dos combustíveis, quando queimado completamente, libera mais dióxido de carbono no ambiente pela mesma quantidade de energia produzida?",A: Benzeno.; B: Metano.; C: Glicose.; D: Octano.; E: Etanol.,C,1.84632
51,"Para evitar o desmatamento da Mata Atlântica nos arredores da cidade de Amargosa, no Recôncavo da Bahia, o Ibama tem atuado no sentido de fiscalizar, entre outras, as pequenas propriedades rurais que dependem da lenha proveniente das matas para a produção da farinha de mandioca, produto típico da região. Com isso, pequenos produtores procuram alternativas como o gás de cozinha, o que encarece a farinha. Uma alternativa viável, em curto prazo, para os produtores de farinha em Amargosa, que não cause danos à Mata Atlântica nem encareça o produto é a","A: construção, nas pequenas propriedades, de grandes fornos elétricos para torrar a mandioca.; B: plantação, em suas propriedades, de árvores para serem utilizadas na produção de lenha.; C: permissão, por parte do Ibama, da exploração da Mata Atlântica apenas pelos pequenos produtores.; D: construção de biodigestores, para a produção de gás combustível a partir de resíduos orgânicos da região.; E: coleta de carvão de regiões mais distantes, onde existe menor intensidade de fiscalização do Ibama.",D,0.57856
52,"Belém é cercada por 39 ilhas, e suas populações convivem com ameaças de doenças. O motivo, apontado por especialistas, é a poluição da água do rio, principal fonte de sobrevivência dos ribeirinhos. A diarreia é frequente nas crianças e ocorre como consequência da falta de saneamento básico, já que a população não tem acesso à água de boa qualidade. Como não há água potável, a alternativa é consumir a do rio. O procedimento adequado para tratar a água dos rios, a fim de atenuar os problemas de saúde causados por microrganismos a essas populações ribeirinhas é a",A: filtração.; B: cloração.; C: coagulação.; D: fluoretação.; E: decantação.,B,1.13389
53,"O vírus do papiloma humano (HPV, na sigla em inglês) causa o aparecimento de verrugas e infecção persistente, sendo o principal fator ambiental do câncer de colo de útero nas mulheres. O vírus pode entrar pela pele ou por mucosas do corpo, o qual desenvolve anticorpos contra a ameaça, embora em alguns casos a defesa natural do organismo não seja suficiente. Foi desenvolvida uma vacina contra o HPV, que reduz em até 90% as verrugas e 85,6% dos casos de infecção persistente em comparação com pessoas não vacinadas. O benefício da utilização dessa vacina é que pessoas vacinadas, em comparação com as não vacinadas, apresentam diferentes respostas ao vírus HPV em decorrência da",A: alta concentração de macrófagos.; B: elevada taxa de anticorpos específicos anti-HPV circulantes.; C: aumento na produção de hemácias após a infecção por vírus HPV.; D: rapidez na produção de altas concentrações de linfócitos matadores.; E: presença de células de memória que atuam na resposta secundária.,E,1.55768
54,"Certas ligas estanho-chumbo com composição específica formam um eutético simples, o que significa que uma liga com essas características se comporta como uma substância pura, com um ponto de fusão definido, no caso 183 ºC. Essa é uma temperatura inferior mesmo ao ponto de fusão dos metais que compõem esta liga (o estanho puro funde a 232 ºC e o chumbo puro a 320 ºC), o que justifica sua ampla utilização na soldagem de componentes eletrônicos, em que o excesso de aquecimento deve sempre ser evitado. De acordo com as normas internacionais, os valores mínimo e máximo das densidades para essas ligas são de 8,74 g/mL e 8,82 g/mL, respectivamente. As densidades do estanho e do chumbo são 7,3 g/mL e 11,3 g/mL, respectivamente. Um lote contendo 5 amostras de solda estanhochumbo foi analisado por um técnico, por meio da determinação de sua composição percentual em massa, cujos resultados estão mostrados no quadro a seguir. Amostra Porcentagem de Sn (%) Porcentagem de Pb (%) I 60 40 II 62 38 III 65 35 IV 63 37 V 59 41 Com base no texto e na análise realizada pelo técnico, as amostras que atendem às normas internacionais são",A: I e II.; B: I e III.; C: II e IV.; D: III e V.; E: IV e V.,C,1.29865
55,"No processo de industrialização da mamona, além do óleo que contém vários ácidos graxos, é obtida uma massa orgânica, conhecida como torta de mamona. Esta massa tem potencial para ser utilizada como fertilizante para o solo e como complemento em rações animais devido a seu elevado valor proteico. No entanto, a torta apresenta compostos tóxicos e alergênicos diferentemente do óleo da mamona. Para que a torta possa ser utilizada na alimentação animal, é necessário um processo de descontaminação. A característica presente nas substâncias tóxicas e alergênicas, que inviabiliza sua solubilização no óleo de mamona, é a",A: lipofilia.; B: hidrofilia.; C: hipocromia.; D: cromatofilia.; E: hiperpolarização.,B,2.23506
