numero_questao,enunciado,alternativas
91,"Para serem absorvidos pelas células do intestino
humano, os lipídios ingeridos precisam ser primeiramente
emulsificados. Nessa etapa da digestão, torna-se
necessária a ação dos ácidos biliares, visto que os
lipídios apresentam uma natureza apolar e são insolúveis
em água.

Esses ácidos atuam no processo de modo a",A: hidrolisar os lipídios.; B: agir como detergentes.; C: tornar os lipídios anfifílicos.; D: promover a secreção de lipases.; E: estimular o trânsito intestinal dos lipídios.
92,"A tecnologia de comunicação da etiqueta RFID
(chamada de etiqueta inteligente) é usada há anos
para rastrear gado, vagões de trem, bagagem aérea e
carros nos pedágios. Um modelo mais barato dessas
etiquetas pode funcionar sem baterias e é constituído
por três componentes: um microprocessador de silício;
uma bobina de metal, feita de cobre ou de alumínio, que
é enrolada em um padrão circular; e um encapsulador,
que é um material de vidro ou polímero envolvendo
o microprocessador e a bobina. Na presença de um
campo de radiofrequência gerado pelo leitor, a etiqueta
transmite sinais. A distância de leitura é determinada
pelo tamanho da bobina e pela potência da onda de
rádio emitida pelo leitor.

A etiqueta funciona sem pilhas porque o campo",A: elétrico da onda de rádio agita elétrons da bobina.; B: elétrico da onda de rádio cria uma tensão na bobina.; C: magnético da onda de rádio induz corrente na bobina.; D: magnético da onda de rádio aquece os fios da bobina.; E: magnético da onda de rádio diminui a ressonância no interior da bobina.
93,"Corredores ecológicos visam mitigar os efeitos da
fragmentação dos ecossistemas promovendo a ligação
entre diferentes áreas, com o objetivo de proporcionar o
deslocamento de animais, a dispersão de sementes e o
aumento da cobertura vegetal. São instituídos com base
em informações como estudos sobre o deslocamento
de espécies, sua área de vida (área necessária para o
suprimento de suas necessidades vitais e reprodutivas) e
a distribuição de suas populações.

Nessa estratégia, a recuperação da biodiversidade é
efetiva porque",A: propicia o fluxo gênico.; B: intensifica o manejo de espécies.; C: amplia o processo de ocupação humana.; D: aumenta o número de indivíduos nas populações.; E: favorece a formação de ilhas de proteção integral.
94,"A identificação de riscos de produtos perigosos para o
transporte rodoviário é obrigatória e realizada por meio da
sinalização composta por um painel de segurança, de cor
alaranjada, e um rótulo de risco. As informações inseridas
no painel de segurança e no rótulo de risco, conforme
determina a legislação, permitem que se identifique o
produto transportado e os perigos a ele associados.

A sinalização mostrada identifica uma substância que
está sendo transportada em um caminhão.

Descrição da sinalização:

Painel contendo dois números. Na parte superior
está o número 268; na parte inferior, o número 1005.
Do lado direito há um losango com a ilustração de
um crânio humano com dois ossos cruzados e a
informação textual: “Gás tóxico 2”.

Os três algarismos da parte superior do painel indicam
o “Número de risco”. O número 268 indica tratar-se de um
gás (2), tóxico (6) e corrosivo (8). Os quatro dígitos da
parte inferior correspondem ao “Número ONU”, que
identifica o produto transportado.
Considerando a identificação apresentada no caminhão,
o código 1005 corresponde à substância",A: eteno.; B: nitrogênio.; C: amônia.; D: propano.; E: dióxido de carbono.
95,"Fundamentos da biologia celular

No ciclo celular atuam moléculas reguladoras. Dentre
elas, a proteína p53 é ativada em resposta a mutações
no DNA, evitando a progressão do ciclo até que os danos
sejam reparados, ou induzindo a célula à autodestruição.

A ausência dessa proteína poderá favorecer a","A: redução da síntese de DNA, acelerando o ciclo celular.; B: saída imediata do ciclo celular, antecipando a proteção do DNA.; C: ativação de outras proteínas reguladoras, induzindo a apoptose.; D: manutenção da estabilidade genética, favorecendo a longevidade.; E: proliferação celular exagerada, resultando na formação de um tumor."
96,"Estratificação aquática é o fenômeno de divisão
dos lagos em camadas com diferentes temperaturas.
No verão a água mais próxima à superfície é aquecida
pelo sol, formando uma camada quente, e a camada
inferior do lago se mantém mais fria. No inverno a camada
superior esfria, ocorrendo um processo de troca de
nutrientes e oxigênio entre as camadas.

Esse processo ocorre devido ao(à)",A: diminuição da taxa de evaporação da água.; B: aproximação da temperatura entre as camadas.; C: diminuição da temperatura das camadas inferiores.; D: aumento da taxa de condensação da umidade do ar.; E: aumento da densidade da água da camada superior.
97,"O grafeno é uma forma alotrópica do carbono
constituído por uma folha planar (arranjo bidimensional)
de átomos de carbono compactados e com a espessura
de apenas um átomo. Sua estrutura é hexagonal,
conforme a figura.

Descrição da estrutura do grafeno:

A estrutura apresenta uma rede plana formada
por vários hexágonos interligados, que contêm, em
cada vértice, um átomo de carbono. Cada átomo de
carbono está ligado a outros três átomos de carbono
presentes nos vértices desses hexágonos.

Nesse arranjo, os átomos de carbono possuem hibridação",A: de geometria linear.; B: dois de geometria trigonal planar.; C: três alternados com carbonos com hibridação de geometria linear.; D: três d de geometria planar.; E: três ddois com geometria hexagonal planar.
98,"Um projetista deseja construir um brinquedo que
lance um pequeno cubo ao longo de um trilho horizontal,
e o dispositivo precisa oferecer a opção de mudar a
velocidade de lançamento. Para isso, ele utiliza uma mola
e um trilho onde o atrito pode ser desprezado, conforme
a figura.

Descrição da figura:

A figura ilustra o brinquedo como um tubo (trilho
horizontal) com a extremidade esquerda fechada e a
direita aberta. Uma mola está dentro do tubo, fixada
na extremidade fechada e sendo comprimida por um
cubo, que se pretende lançar pela parte aberta.

Para que a velocidade de lançamento do cubo seja
aumentada quatro vezes, o projetista deve","A: manter a mesma mola e aumentar duas vezes a sua
deformação.; B: manter a mesma mola e aumentar quatro vezes a sua
deformação.; C: manter a mesma mola e aumentar dezesseis vezes a
sua deformação.; D: trocar a mola por outra de constante elástica duas
vezes maior e manter a deformação.; E: trocar a mola por outra de constante elástica quatro
vezes maior e manter a deformação."
99,"A liberação de gases poluentes para a atmosfera,
provenientes da decomposição do lixo orgânico nos
aterros sanitários, tornou-se um grande problema para o
meio ambiente. Uma das alternativas para minimizá-lo é o
aproveitamento desses gases para gerar energias elétrica
e térmica.

O gás produzido em grande quantidade utilizado para o
propósito mencionado é o",A: H₂S – Sulfeto de hidrogênio (ou Ácido sulfídrico); B: CH₄ – Metano; C: N₂O – Óxido nitroso (ou Monóxido de dinitrogênio); D: NO₂ – Dióxido de nitrogênio; E: SO₃ – Trióxido de enxofre
100,"O carro flex é uma realidade no Brasil. Estes veículos
estão equipados com motor que tem a capacidade
de funcionar com mais de um tipo de combustível. No
entanto, as pessoas que têm esse tipo de veículo, na
hora do abastecimento, têm sempre a dúvida: álcool ou
gasolina? Para avaliar o consumo desses combustíveis,
realizou-se um percurso com um veículo flex, consumindo
40 litros de gasolina e no percurso de volta utilizou-se etanol.
Foi considerado o mesmo consumo de energia tanto no
percurso de ida quanto no de volta.

O quadro resume alguns dados aproximados sobre
esses combustíveis.

Descrição do quadro:

Quadro com dois combustíveis e seus valores de
densidade em grama por mililitro e calor de combustão
em quilocaloria por grama.

Etanol:

densidade: 0,8

calor de combustão: —6
Gasolina:

densidade: 0,7

calor de combustão: —10

O volume de etanol combustível, em litro, consumido no
percurso de volta é mais próximo de",A: 27 – Vinte e sete; B: 32 – Trinta e dois; C: 37 – Trinta e sete; D: 58 – Cinquenta e oito; E: 67 – Sessenta e sete;
101,"As abelhas utilizam a sinalização química para
distinguir a abelha-rainha de uma operária, sendo
capazes de reconhecer diferenças entre moléculas.
A rainha produz o sinalizador químico conhecido como
ácido 9-hidroxidec-2-enoico, enquanto as abelhas-
-operárias produzem ácido 10-hidroxidec-2-enoico.
Nós podemos distinguir as abelhas-operárias e rainhas
por sua aparência, mas, entre si, elas usam essa
sinalização química para perceber a diferença. Pode-se
dizer que veem por meio da química.

As moléculas dos sinalizadores químicos produzidas
pelas abelhas rainha e operária possuem diferença na",A: fórmula estrutural.; B: fórmula molecular.; C: identificação dos tipos de ligação.; D: contagem do número de carbonos.; E: identificação dos grupos funcionais.
102,"Insetos podem apresentar três tipos de desenvolvimento.
Um deles, a holometabolia (desenvolvimento completo),
é constituído pelas fases de ovo, larva, pupa e adulto
sexualmente maduro, que ocupam diversos hábitats.
Os insetos com holometabolia pertencem às ordens mais
numerosas em termos de espécies conhecidas.

Esse tipo de desenvolvimento está relacionado a um
maior número de espécies em razão da","A: proteção na fase de pupa, favorecendo a sobrevivência
de adultos férteis.; B: produção de muitos ovos, larvas e pupas, aumentando
o número de adultos.; C: exploração de diferentes nichos,
competição entre as fases da vida.; D: ingestão de alimentos em todas as fases de vida,
garantindo o surgimento do adulto.; E: utilização do mesmo alimento em todas as fases,
otimizando a nutrição do organismo."
103,"Talvez você já tenha bebido suco usando dois
canudinhos iguais. Entretanto, pode-se verificar que, se
colocar um canudo imerso no suco e outro do lado de
fora do líquido, fazendo a sucção simultaneamente em
ambos, você terá dificuldade em bebê-lo.

Essa dificuldade ocorre porque o(a)","A: força necessária para a sucção do ar e do suco
simultaneamente dobra de valor.; B: densidade do ar é menor que a do suco, portanto, o
volume de ar aspirado é muito maior que o volume
de suco.; C: velocidade com que o suco sobe deve ser constante
nos dois canudos, o que é impossível com um dos
canudos de fora.; D: O peso da coluna de suco é consideravelmente maior
que o peso da coluna de ar, o que dificulta a sucção
do líquido.; E: pressão no interior da boca assume praticamente o
mesmo valor daquela que atua sobre o suco."
